Sample	Protein	Replicate	GelBand	Ratio	ReferenceLibrary	ReferenceLibraryDetails	ForwardFastqGZ	ReverseFastqGZ
p53_v2Ac_oct2024_SS_0	p53	p53_v2Ac_oct2024	SS	0	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_SS_0_S1_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_SS_0_S1_L001_R2_001.fastq.gz
p53_v2Ac_oct2024_SS_05	p53	p53_v2Ac_oct2024	SS	0.5	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_SS_05_S2_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_SS_05_S2_L001_R2_001.fastq.gz
p53_v2Ac_oct2024_SS_1	p53	p53_v2Ac_oct2024	SS	1	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_SS_1_S3_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_SS_1_S3_L001_R2_001.fastq.gz
p53_v2Ac_oct2024_SS_2	p53	p53_v2Ac_oct2024	SS	2	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_SS_2_S4_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_SS_2_S4_L001_R2_001.fastq.gz
p53_v2Ac_oct2024_SS_4	p53	p53_v2Ac_oct2024	SS	4	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_SS_4_S5_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_SS_4_S5_L001_R2_001.fastq.gz
p53_v2Ac_oct2024_SS_8	p53	p53_v2Ac_oct2024	SS	8	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_SS_8_S6_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_SS_8_S6_L001_R2_001.fastq.gz
p53_v2Ac_oct2024_N_0	p53	p53_v2Ac_oct2024	N	0	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_N_0_S7_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_N_0_S7_L001_R2_001.fastq.gz
p53_v2Ac_oct2024_N_05	p53	p53_v2Ac_oct2024	N	0.5	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_N_05_S8_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_N_05_S8_L001_R2_001.fastq.gz
p53_v2Ac_oct2024_N_1	p53	p53_v2Ac_oct2024	N	1	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_N_1_S9_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_N_1_S9_L001_R2_001.fastq.gz
p53_v2Ac_oct2024_N_2	p53	p53_v2Ac_oct2024	N	2	Nucs_v2_DB_no_primers.fa	NucV2_details.txt	p53_v2Ac_oct2024_N_2_S10_L001_R1_001.fastq.gz	p53_v2Ac_oct2024_N_2_S10_L001_R2_001.fastq.gz
