Name	Type	Protein	NPS	BP	Distance
601_control	601_control	NA	Widom_601	0	0
CebpZ_a-1	CebpZ_a	CebpZ	Widom_601	33	-63
CebpZ_a-2	CebpZ_a	CebpZ	Widom_601	34	-62
CebpZ_a-3	CebpZ_a	CebpZ	Widom_601	35	-61
CebpZ_a-4	CebpZ_a	CebpZ	Widom_601	36	-60
CebpZ_a-5	CebpZ_a	CebpZ	Widom_601	37	-59
CebpZ_a-6	CebpZ_a	CebpZ	Widom_601	38	-58
CebpZ_a-7	CebpZ_a	CebpZ	Widom_601	39	-57
CebpZ_a-8	CebpZ_a	CebpZ	Widom_601	40	-56
CebpZ_a-9	CebpZ_a	CebpZ	Widom_601	41	-55
CebpZ_a-10	CebpZ_a	CebpZ	Widom_601	42	-54
CebpZ_a-11	CebpZ_a	CebpZ	Widom_601	43	-53
CebpZ_a-12	CebpZ_a	CebpZ	Widom_601	44	-52
CebpZ_a-13	CebpZ_a	CebpZ	Widom_601	45	-51
CebpZ_a-14	CebpZ_a	CebpZ	Widom_601	46	-50
CebpZ_a-15	CebpZ_a	CebpZ	Widom_601	47	-49
CebpZ_a-16	CebpZ_a	CebpZ	Widom_601	48	-48
CebpZ_a-17	CebpZ_a	CebpZ	Widom_601	49	-47
CebpZ_a-18	CebpZ_a	CebpZ	Widom_601	50	-46
CebpZ_a-19	CebpZ_a	CebpZ	Widom_601	51	-45
CebpZ_a-20	CebpZ_a	CebpZ	Widom_601	52	-44
CebpZ_a-21	CebpZ_a	CebpZ	Widom_601	53	-43
CebpZ_a-22	CebpZ_a	CebpZ	Widom_601	54	-42
CebpZ_a-23	CebpZ_a	CebpZ	Widom_601	55	-41
CebpZ_a-24	CebpZ_a	CebpZ	Widom_601	56	-40
CebpZ_a-25	CebpZ_a	CebpZ	Widom_601	57	-39
CebpZ_a-26	CebpZ_a	CebpZ	Widom_601	58	-38
CebpZ_a-27	CebpZ_a	CebpZ	Widom_601	59	-37
CebpZ_a-28	CebpZ_a	CebpZ	Widom_601	60	-36
CebpZ_a-29	CebpZ_a	CebpZ	Widom_601	61	-35
CebpZ_a-30	CebpZ_a	CebpZ	Widom_601	62	-34
CebpZ_a-31	CebpZ_a	CebpZ	Widom_601	63	-33
CebpZ_a-32	CebpZ_a	CebpZ	Widom_601	64	-32
CebpZ_a-33	CebpZ_a	CebpZ	Widom_601	65	-31
CebpZ_a-34	CebpZ_a	CebpZ	Widom_601	66	-30
CebpZ_a-35	CebpZ_a	CebpZ	Widom_601	67	-29
CebpZ_a-36	CebpZ_a	CebpZ	Widom_601	68	-28
CebpZ_a-37	CebpZ_a	CebpZ	Widom_601	69	-27
CebpZ_a-38	CebpZ_a	CebpZ	Widom_601	70	-26
CebpZ_a-39	CebpZ_a	CebpZ	Widom_601	71	-25
CebpZ_a-40	CebpZ_a	CebpZ	Widom_601	72	-24
CebpZ_a-41	CebpZ_a	CebpZ	Widom_601	73	-23
CebpZ_a-42	CebpZ_a	CebpZ	Widom_601	74	-22
CebpZ_a-43	CebpZ_a	CebpZ	Widom_601	75	-21
CebpZ_a-44	CebpZ_a	CebpZ	Widom_601	76	-20
CebpZ_a-45	CebpZ_a	CebpZ	Widom_601	77	-19
CebpZ_a-46	CebpZ_a	CebpZ	Widom_601	78	-18
CebpZ_a-47	CebpZ_a	CebpZ	Widom_601	79	-17
CebpZ_a-48	CebpZ_a	CebpZ	Widom_601	80	-16
CebpZ_a-49	CebpZ_a	CebpZ	Widom_601	81	-15
CebpZ_a-50	CebpZ_a	CebpZ	Widom_601	82	-14
CebpZ_a-51	CebpZ_a	CebpZ	Widom_601	83	-13
CebpZ_a-52	CebpZ_a	CebpZ	Widom_601	84	-12
CebpZ_a-53	CebpZ_a	CebpZ	Widom_601	85	-11
CebpZ_a-54	CebpZ_a	CebpZ	Widom_601	86	-10
CebpZ_a-55	CebpZ_a	CebpZ	Widom_601	87	-9
CebpZ_a-56	CebpZ_a	CebpZ	Widom_601	88	-8
CebpZ_a-57	CebpZ_a	CebpZ	Widom_601	89	-7
CebpZ_a-58	CebpZ_a	CebpZ	Widom_601	90	-6
CebpZ_a-59	CebpZ_a	CebpZ	Widom_601	91	-5
CebpZ_a-60	CebpZ_a	CebpZ	Widom_601	92	-4
CebpZ_a-61	CebpZ_a	CebpZ	Widom_601	93	-3
CebpZ_a-62	CebpZ_a	CebpZ	Widom_601	94	-2
CebpZ_a-63	CebpZ_a	CebpZ	Widom_601	95	-1
CebpZ_a-64	CebpZ_a	CebpZ	Widom_601	96	0
CebpZ_a-65	CebpZ_a	CebpZ	Widom_601	97	1
CebpZ_a-66	CebpZ_a	CebpZ	Widom_601	98	2
CebpZ_a-67	CebpZ_a	CebpZ	Widom_601	99	3
