Name	Type 	Protein	NPS	BP
MMTV_NucB	MMTV_NucB	NA	Widom_601	0
Palindrom_601	Palindrom_601	NA	Widom_601	0
Taipale_2018_Modified_601_SOX11	Taipale_2018_Modified_601_SOX11	NA	Widom_601	0
Zaret_2019_ALBN1-DNA	Zaret_2019_ALBN1-DNA	NA	Widom_601	0
Zaret_2019_NRCAM-DNA	Zaret_2019_NRCAM-DNA	NA	Widom_601	0
Zaret_2019_CX3CR1-DNA	Zaret_2019_CX3CR1-DNA	NA	Widom_601	0
Cramer_2020_DNA-1_SOX	Cramer_2020_DNA-1_SOX	NA	Widom_601	0
Cojocaru_2020_Esrrb	Cojocaru_2020_Esrrb	NA	Widom_601	0
Cojocaru_2020_Lin28b	Cojocaru_2020_Lin28b	NA	Widom_601	0
Zaret_2015_LIN28B	Zaret_2015_LIN28B	NA	Widom_601	0
Widom_601_MOD	Widom_601_MOD	NA	Widom_601	0
WIDOM_601_MOD_Klf4-1_BP-23	WIDOM_601_MOD_Klf4-1	NA	Widom_601	23
WIDOM_601_MOD_Klf4-1_BP-36	WIDOM_601_MOD_Klf4-1	NA	Widom_601	36
WIDOM_601_MOD_Klf4-1_BP-37	WIDOM_601_MOD_Klf4-1	NA	Widom_601	37
WIDOM_601_MOD_Klf4-1_BP-38	WIDOM_601_MOD_Klf4-1	NA	Widom_601	38
WIDOM_601_MOD_Klf4-1_BP-39	WIDOM_601_MOD_Klf4-1	NA	Widom_601	39
WIDOM_601_MOD_Klf4-1_BP-40	WIDOM_601_MOD_Klf4-1	NA	Widom_601	40
WIDOM_601_MOD_Klf4-1_BP-41	WIDOM_601_MOD_Klf4-1	NA	Widom_601	41
WIDOM_601_MOD_Klf4-1_BP-42	WIDOM_601_MOD_Klf4-1	NA	Widom_601	42
WIDOM_601_MOD_Klf4-1_BP-43	WIDOM_601_MOD_Klf4-1	NA	Widom_601	43
WIDOM_601_MOD_Klf4-1_BP-44	WIDOM_601_MOD_Klf4-1	NA	Widom_601	44
WIDOM_601_MOD_Klf4-1_BP-45	WIDOM_601_MOD_Klf4-1	NA	Widom_601	45
WIDOM_601_MOD_Klf4-1_BP-46	WIDOM_601_MOD_Klf4-1	NA	Widom_601	46
WIDOM_601_MOD_Klf4-1_BP-47	WIDOM_601_MOD_Klf4-1	NA	Widom_601	47
WIDOM_601_MOD_Klf4-1_BP-48	WIDOM_601_MOD_Klf4-1	NA	Widom_601	48
